m49,geometry_name,ne_un_a3,fao_area,Flag,head,species,rendered_as
762,Tajikistan,762,Tajikistan,A,11286000.0,Chickens,A
158,Taiwan,-099,"China, Taiwan Province of",A,101080000.0,Chickens,A
760,Syria,760,Syrian Arab Republic,A,14526000.0,Chickens,A
756,Switzerland,756,Switzerland,A,13109000.0,Chickens,A
752,Sweden,752,,,,Chickens,none
748,eSwatini,748,Eswatini,E,1952000.0,Chickens,E
740,Suriname,740,Suriname,I,6179000.0,Chickens,I
728,S. Sudan,728,South Sudan,I,35362000.0,Chickens,I
729,Sudan,729,Sudan,E,50260000.0,Chickens,E
144,Sri Lanka,144,Sri Lanka,A,22767000.0,Chickens,A
724,Spain,724,,,,Chickens,none
410,South Korea,410,Republic of Korea,A,173136000.0,Chickens,A
710,South Africa,710,South Africa,I,175203000.0,Chickens,I
706,Somalia,706,Somalia,I,3919000.0,Chickens,I
-099,Somaliland,-099,,,,Chickens,none
090,Solomon Is.,090,Solomon Islands,I,247000.0,Chickens,I
703,Slovakia,703,Slovakia,A,9096000.0,Chickens,A
705,Slovenia,705,Slovenia,A,5023000.0,Chickens,A
702,Singapore,702,Singapore,E,2500000.0,Chickens,E
694,Sierra Leone,694,Sierra Leone,E,24541000.0,Chickens,E
690,Seychelles,690,Seychelles,E,250000.0,Chickens,E
688,Serbia,688,Serbia,A,14624000.0,Chickens,A
686,Senegal,686,Senegal,A,92891000.0,Chickens,A
682,Saudi Arabia,682,Saudi Arabia,I,211965000.0,Chickens,I
678,São Tomé and Principe,678,Sao Tome and Principe,E,254000.0,Chickens,E
674,San Marino,674,,,,Chickens,none
882,Samoa,882,Samoa,I,445000.0,Chickens,I
670,St. Vin. and Gren.,670,Saint Vincent and the Grenadines,I,245000.0,Chickens,I
662,Saint Lucia,662,Saint Lucia,I,476000.0,Chickens,I
659,St. Kitts and Nevis,659,Saint Kitts and Nevis,A,65000.0,Chickens,A
646,Rwanda,646,Rwanda,A,2583000.0,Chickens,A
643,Russia,643,Russian Federation,A,488236000.0,Chickens,A
642,Romania,642,Romania,A,78268000.0,Chickens,A
634,Qatar,634,Qatar,A,31120000.0,Chickens,A
620,Portugal,620,,,,Chickens,none
616,Poland,616,Poland,A,176580000.0,Chickens,A
608,Philippines,608,Philippines,A,185102000.0,Chickens,A
604,Peru,604,Peru,A,190882000.0,Chickens,A
600,Paraguay,600,Paraguay,A,33286000.0,Chickens,A
598,Papua New Guinea,598,Papua New Guinea,I,4803000.0,Chickens,I
591,Panama,591,Panama,A,28481000.0,Chickens,A
585,Palau,585,,,,Chickens,none
586,Pakistan,586,Pakistan,A,1725000000.0,Chickens,A
512,Oman,512,Oman,I,5002000.0,Chickens,I
578,Norway,-99,Norway,A,16131000.0,Chickens,A
408,North Korea,408,Democratic People's Republic of Korea,I,12478000.0,Chickens,I
566,Nigeria,566,Nigeria,I,250620000.0,Chickens,I
562,Niger,562,Niger,I,20737000.0,Chickens,I
558,Nicaragua,558,Nicaragua,I,27451000.0,Chickens,I
554,New Zealand,554,New Zealand,A,24756000.0,Chickens,A
570,Niue,570,Niue,I,19000.0,Chickens,I
184,Cook Is.,184,Cook Islands,I,36000.0,Chickens,I
528,Netherlands,528,Netherlands (Kingdom of the),A,97533000.0,Chickens,A
533,Aruba,533,,,,Chickens,none
531,Curaçao,531,,,,Chickens,none
524,Nepal,524,Nepal,A,66803000.0,Chickens,A
520,Nauru,520,Nauru,I,5000.0,Chickens,I
516,Namibia,516,Namibia,E,4249000.0,Chickens,E
508,Mozambique,508,Mozambique,A,26877000.0,Chickens,A
504,Morocco,504,Morocco,I,221822000.0,Chickens,I
732,W. Sahara,732,,,,Chickens,none
499,Montenegro,499,Montenegro,A,844000.0,Chickens,A
496,Mongolia,496,Mongolia,A,1506000.0,Chickens,A
498,Moldova,498,Republic of Moldova,I,45259000.0,Chickens,I
492,Monaco,492,,,,Chickens,none
484,Mexico,484,Mexico,A,609506000.0,Chickens,A
480,Mauritius,480,Mauritius,I,16277000.0,Chickens,I
478,Mauritania,478,Mauritania,I,4763000.0,Chickens,I
470,Malta,470,,,,Chickens,none
466,Mali,466,Mali,A,57439000.0,Chickens,A
462,Maldives,462,,,,Chickens,none
458,Malaysia,458,Malaysia,A,299423000.0,Chickens,A
454,Malawi,454,Malawi,E,19453000.0,Chickens,E
450,Madagascar,450,Madagascar,E,41454000.0,Chickens,E
807,North Macedonia,807,North Macedonia,A,1562000.0,Chickens,A
442,Luxembourg,442,Luxembourg,A,186000.0,Chickens,A
440,Lithuania,440,Lithuania,A,8897000.0,Chickens,A
438,Liechtenstein,438,,,,Chickens,none
434,Libya,434,Libya,I,36644000.0,Chickens,I
430,Liberia,430,Liberia,I,8369000.0,Chickens,I
426,Lesotho,426,Lesotho,A,549000.0,Chickens,A
422,Lebanon,422,Lebanon,I,72887000.0,Chickens,I
428,Latvia,428,Latvia,A,5744000.0,Chickens,A
418,Laos,418,Lao People's Democratic Republic,A,50118000.0,Chickens,A
417,Kyrgyzstan,417,Kyrgyzstan,A,4984000.0,Chickens,A
414,Kuwait,414,Kuwait,I,59175000.0,Chickens,I
-099,Kosovo,-099,,,,Chickens,none
296,Kiribati,296,Kiribati,I,662000.0,Chickens,I
404,Kenya,404,Kenya,A,61708000.0,Chickens,A
398,Kazakhstan,398,Kazakhstan,A,45653000.0,Chickens,A
400,Jordan,400,Jordan,E,42000000.0,Chickens,E
392,Japan,392,Japan,A,321891000.0,Chickens,A
388,Jamaica,388,Jamaica,I,14165000.0,Chickens,I
380,Italy,380,,,,Chickens,none
376,Israel,376,Israel,A,46716000.0,Chickens,A
275,Palestine,275,Palestine,I,5684000.0,Chickens,I
372,Ireland,372,,,,Chickens,none
368,Iraq,368,Iraq,A,162496000.0,Chickens,A
364,Iran,364,Iran (Islamic Republic of),I,1035986000.0,Chickens,I
360,Indonesia,360,Indonesia,A,3482427000.0,Chickens,A
356,India,356,India,I,837061000.0,Chickens,I
352,Iceland,352,Iceland,A,220000.0,Chickens,A
348,Hungary,348,Hungary,A,32114000.0,Chickens,A
340,Honduras,340,Honduras,I,48212000.0,Chickens,I
332,Haiti,332,Haiti,I,5926000.0,Chickens,I
328,Guyana,328,Guyana,I,31134000.0,Chickens,I
624,Guinea-Bissau,624,Guinea-Bissau,I,2109000.0,Chickens,I
324,Guinea,324,Guinea,E,36358000.0,Chickens,E
320,Guatemala,320,Guatemala,E,47000000.0,Chickens,E
308,Grenada,308,Grenada,E,400000.0,Chickens,E
300,Greece,300,Greece,A,38649000.0,Chickens,A
288,Ghana,288,Ghana,I,80972000.0,Chickens,I
276,Germany,276,,,,Chickens,none
268,Georgia,268,Georgia,A,9092000.0,Chickens,A
270,Gambia,270,Gambia,A,1005000.0,Chickens,A
266,Gabon,266,Gabon,I,3377000.0,Chickens,I
250,France,250,France,A,231096000.0,Chickens,A
666,St. Pierre and Miquelon,666,,,,Chickens,none
876,Wallis and Futuna Is.,876,,,,Chickens,none
663,St-Martin,663,,,,Chickens,none
652,St-Barthélemy,652,,,,Chickens,none
258,Fr. Polynesia,258,French Polynesia,I,334000.0,Chickens,I
540,New Caledonia,540,New Caledonia,I,618000.0,Chickens,I
260,Fr. S. Antarctic Lands,260,,,,Chickens,none
248,Åland,248,,,,Chickens,none
246,Finland,246,Finland,A,13364000.0,Chickens,A
242,Fiji,242,Fiji,I,5709000.0,Chickens,I
231,Ethiopia,231,Ethiopia,A,41351000.0,Chickens,A
233,Estonia,233,Estonia,A,2092000.0,Chickens,A
232,Eritrea,232,Eritrea,E,1215000.0,Chickens,E
226,Eq. Guinea,226,Equatorial Guinea,I,386000.0,Chickens,I
222,El Salvador,222,El Salvador,I,19115000.0,Chickens,I
818,Egypt,818,Egypt,I,289799000.0,Chickens,I
218,Ecuador,218,Ecuador,I,175984000.0,Chickens,I
214,Dominican Rep.,214,Dominican Republic,I,217034000.0,Chickens,I
212,Dominica,212,Dominica,I,203000.0,Chickens,I
262,Djibouti,262,,,,Chickens,none
304,Greenland,304,,,,Chickens,none
234,Faeroe Is.,234,,,,Chickens,none
208,Denmark,208,Denmark,A,22412000.0,Chickens,A
203,Czechia,203,Czechia,A,22955000.0,Chickens,A
-099,N. Cyprus,-099,,,,Chickens,none
196,Cyprus,196,,,,Chickens,none
192,Cuba,192,Cuba,A,30155000.0,Chickens,A
191,Croatia,191,Croatia,A,10436000.0,Chickens,A
384,Côte d'Ivoire,384,Côte d'Ivoire,A,116549000.0,Chickens,A
188,Costa Rica,188,Costa Rica,A,23508000.0,Chickens,A
180,Dem. Rep. Congo,180,Democratic Republic of the Congo,A,18912000.0,Chickens,A
178,Congo,178,Congo,I,3030000.0,Chickens,I
174,Comoros,174,Comoros,I,548000.0,Chickens,I
170,Colombia,170,Colombia,A,215218000.0,Chickens,A
156,China,156,"China, mainland",I,5194411000.0,Chickens,I
446,Macao,446,"China, Macao SAR",I,809000.0,Chickens,I
344,Hong Kong,344,"China, Hong Kong SAR",A,3929000.0,Chickens,A
152,Chile,152,Chile,A,57142000.0,Chickens,A
148,Chad,148,Chad,I,6121000.0,Chickens,I
140,Central African Rep.,140,Central African Republic,I,6877000.0,Chickens,I
132,Cabo Verde,132,Cabo Verde,I,665000.0,Chickens,I
124,Canada,124,Canada,I,172104000.0,Chickens,I
120,Cameroon,120,Cameroon,I,49041000.0,Chickens,I
116,Cambodia,116,Cambodia,I,13095000.0,Chickens,I
104,Myanmar,104,Myanmar,A,133911000.0,Chickens,A
108,Burundi,108,Burundi,A,3050000.0,Chickens,A
854,Burkina Faso,854,Burkina Faso,A,32587000.0,Chickens,A
100,Bulgaria,100,,,,Chickens,none
096,Brunei,096,Brunei Darussalam,A,21416000.0,Chickens,A
076,Brazil,076,Brazil,A,1568518000.0,Chickens,A
072,Botswana,072,Botswana,I,805000.0,Chickens,I
070,Bosnia and Herz.,070,Bosnia and Herzegovina,A,9299000.0,Chickens,A
068,Bolivia,068,Bolivia (Plurinational State of),I,227414000.0,Chickens,I
064,Bhutan,064,Bhutan,A,975000.0,Chickens,A
204,Benin,204,Benin,A,16333000.0,Chickens,A
084,Belize,084,Belize,I,1697000.0,Chickens,I
056,Belgium,056,Belgium,A,53283000.0,Chickens,A
112,Belarus,112,Belarus,I,106342000.0,Chickens,I
052,Barbados,052,Barbados,I,5299000.0,Chickens,I
050,Bangladesh,050,Bangladesh,A,311800000.0,Chickens,A
048,Bahrain,048,Bahrain,I,1754000.0,Chickens,I
044,Bahamas,044,Bahamas,I,3249000.0,Chickens,I
031,Azerbaijan,031,Azerbaijan,A,29795000.0,Chickens,A
040,Austria,040,,,,Chickens,none
036,Australia,036,Australia,I,109397000.0,Chickens,I
-099,Indian Ocean Ter.,-099,,,,Chickens,none
-099,Heard I. and McDonald Is.,-099,,,,Chickens,none
574,Norfolk Island,574,,,,Chickens,none
-099,Ashmore and Cartier Is.,-099,,,,Chickens,none
051,Armenia,051,Armenia,A,4827000.0,Chickens,A
032,Argentina,032,Argentina,A,116089000.0,Chickens,A
028,Antigua and Barb.,028,Antigua and Barbuda,I,159000.0,Chickens,I
024,Angola,024,Angola,I,45755000.0,Chickens,I
020,Andorra,020,,,,Chickens,none
012,Algeria,012,Algeria,E,191602000.0,Chickens,E
008,Albania,008,Albania,A,4999000.0,Chickens,A
004,Afghanistan,004,Afghanistan,I,13248000.0,Chickens,I
-099,Siachen Glacier,-099,,,,Chickens,none
534,Sint Maarten,534,,,,Chickens,none
798,Tuvalu,798,Tuvalu,E,56000.0,Chickens,E
716,Zimbabwe,716,Zimbabwe,A,5533727.0,Cattle,A
894,Zambia,894,Zambia,A,4698972.0,Cattle,A
887,Yemen,887,Yemen,X,1909204.0,Cattle,X
704,Vietnam,704,Viet Nam,A,6353079.0,Cattle,A
862,Venezuela,862,Venezuela (Bolivarian Republic of),A,17446122.0,Cattle,A
336,Vatican,336,,,,Cattle,none
548,Vanuatu,548,Vanuatu,A,89131.0,Cattle,A
860,Uzbekistan,860,Uzbekistan,A,13853517.0,Cattle,A
858,Uruguay,858,Uruguay,A,11572000.0,Cattle,A
583,Micronesia,583,Micronesia (Federated States of),E,17501.0,Cattle,E
584,Marshall Is.,584,,,,Cattle,none
580,N. Mariana Is.,580,,,,Cattle,none
850,U.S. Virgin Is.,850,,,,Cattle,none
316,Guam,316,,,,Cattle,none
016,American Samoa,016,,,,Cattle,none
630,Puerto Rico,630,Puerto Rico,A,202621.0,Cattle,A
840,United States of America,840,United States of America,A,91788700.0,Cattle,A
-099,S. Geo. and the Is.,-099,,,,Cattle,none
-099,Br. Indian Ocean Ter.,-099,,,,Cattle,none
654,Saint Helena,654,,,,Cattle,none
612,Pitcairn Is.,612,,,,Cattle,none
660,Anguilla,660,,,,Cattle,none
238,Falkland Is.,238,,,,Cattle,none
136,Cayman Is.,136,,,,Cattle,none
060,Bermuda,060,,,,Cattle,none
092,British Virgin Is.,092,,,,Cattle,none
796,Turks and Caicos Is.,796,,,,Cattle,none
500,Montserrat,500,,,,Cattle,none
832,Jersey,832,,,,Cattle,none
831,Guernsey,831,,,,Cattle,none
833,Isle of Man,833,,,,Cattle,none
826,United Kingdom,826,United Kingdom of Great Britain and Northern Ireland,A,9631892.0,Cattle,A
784,United Arab Emirates,784,United Arab Emirates,A,110698.0,Cattle,A
804,Ukraine,804,Ukraine,A,2644000.0,Cattle,A
800,Uganda,800,Uganda,A,14530855.0,Cattle,A
795,Turkmenistan,795,Turkmenistan,A,2522407.0,Cattle,A
792,Turkey,792,Türkiye,A,16851956.0,Cattle,A
788,Tunisia,788,Tunisia,I,495566.0,Cattle,I
780,Trinidad and Tobago,780,Trinidad and Tobago,I,34848.0,Cattle,I
776,Tonga,776,Tonga,I,12148.0,Cattle,I
768,Togo,768,Togo,A,473632.0,Cattle,A
626,Timor-Leste,626,Timor-Leste,E,252449.0,Cattle,E
764,Thailand,764,Thailand,E,4503210.0,Cattle,E
834,Tanzania,834,United Republic of Tanzania,A,36584883.0,Cattle,A
762,Tajikistan,762,Tajikistan,A,2554000.0,Cattle,A
158,Taiwan,-099,"China, Taiwan Province of",A,158235.0,Cattle,A
760,Syria,760,Syrian Arab Republic,A,852719.0,Cattle,A
756,Switzerland,756,Switzerland,A,1525270.0,Cattle,A
752,Sweden,752,Sweden,A,1390550.0,Cattle,A
748,eSwatini,748,Eswatini,A,560036.0,Cattle,A
740,Suriname,740,Suriname,A,33990.0,Cattle,A
728,S. Sudan,728,South Sudan,I,13645892.0,Cattle,I
729,Sudan,729,Sudan,X,30100000.0,Cattle,X
144,Sri Lanka,144,Sri Lanka,A,1127630.0,Cattle,A
724,Spain,724,Spain,A,6455130.0,Cattle,A
410,South Korea,410,Republic of Korea,A,4116407.0,Cattle,A
710,South Africa,710,South Africa,A,12196802.0,Cattle,A
706,Somalia,706,Somalia,E,4789395.0,Cattle,E
-099,Somaliland,-099,,,,Cattle,none
090,Solomon Is.,090,Solomon Islands,I,15296.0,Cattle,I
703,Slovakia,703,Slovakia,A,433180.0,Cattle,A
705,Slovenia,705,Slovenia,A,464910.0,Cattle,A
702,Singapore,702,Singapore,I,178.0,Cattle,I
694,Sierra Leone,694,Sierra Leone,E,646230.0,Cattle,E
690,Seychelles,690,Seychelles,I,631.0,Cattle,I
688,Serbia,688,Serbia,A,799844.0,Cattle,A
686,Senegal,686,Senegal,A,3765797.0,Cattle,A
682,Saudi Arabia,682,Saudi Arabia,A,312060.0,Cattle,A
678,São Tomé and Principe,678,Sao Tome and Principe,E,1496.0,Cattle,E
674,San Marino,674,,,,Cattle,none
882,Samoa,882,Samoa,E,38804.0,Cattle,E
670,St. Vin. and Gren.,670,Saint Vincent and the Grenadines,E,3120.0,Cattle,E
662,Saint Lucia,662,Saint Lucia,I,10524.0,Cattle,I
659,St. Kitts and Nevis,659,Saint Kitts and Nevis,I,1831.0,Cattle,I
646,Rwanda,646,Rwanda,A,1424180.0,Cattle,A
643,Russia,643,Russian Federation,A,17649619.0,Cattle,A
642,Romania,642,Romania,A,1833700.0,Cattle,A
634,Qatar,634,Qatar,A,41575.0,Cattle,A
620,Portugal,620,Portugal,A,1579140.0,Cattle,A
616,Poland,616,Poland,A,6448290.0,Cattle,A
608,Philippines,608,Philippines,A,2577506.0,Cattle,A
604,Peru,604,Peru,A,5862305.0,Cattle,A
600,Paraguay,600,Paraguay,A,13241944.0,Cattle,A
598,Papua New Guinea,598,Papua New Guinea,I,91355.0,Cattle,I
591,Panama,591,Panama,A,1516774.0,Cattle,A
585,Palau,585,,,,Cattle,none
586,Pakistan,586,Pakistan,A,53436000.0,Cattle,A
512,Oman,512,Oman,A,429632.0,Cattle,A
578,Norway,-99,Norway,A,898800.0,Cattle,A
408,North Korea,408,Democratic People's Republic of Korea,I,569064.0,Cattle,I
566,Nigeria,566,Nigeria,I,20862418.0,Cattle,I
562,Niger,562,Niger,A,18133707.0,Cattle,A
558,Nicaragua,558,Nicaragua,I,5524787.0,Cattle,I
554,New Zealand,554,New Zealand,A,9751189.0,Cattle,A
570,Niue,570,Niue,I,113.0,Cattle,I
184,Cook Is.,184,Cook Islands,I,229.0,Cattle,I
528,Netherlands,528,Netherlands (Kingdom of the),A,3751000.0,Cattle,A
533,Aruba,533,,,,Cattle,none
531,Curaçao,531,,,,Cattle,none
524,Nepal,524,Nepal,A,7413197.0,Cattle,A
520,Nauru,520,,,,Cattle,none
516,Namibia,516,Namibia,A,3115974.0,Cattle,A
508,Mozambique,508,Mozambique,A,2320248.0,Cattle,A
504,Morocco,504,Morocco,A,3100909.0,Cattle,A
732,W. Sahara,732,,,,Cattle,none
499,Montenegro,499,Montenegro,A,69320.0,Cattle,A
496,Mongolia,496,Mongolia,A,5512839.0,Cattle,A
498,Moldova,498,Republic of Moldova,A,102368.0,Cattle,A
492,Monaco,492,,,,Cattle,none
484,Mexico,484,Mexico,A,36339884.0,Cattle,A
480,Mauritius,480,Mauritius,A,3512.0,Cattle,A
478,Mauritania,478,Mauritania,E,1943115.0,Cattle,E
470,Malta,470,Malta,A,14200.0,Cattle,A
466,Mali,466,Mali,A,13234157.0,Cattle,A
462,Maldives,462,,,,Cattle,none
458,Malaysia,458,Malaysia,A,728107.0,Cattle,A
454,Malawi,454,Malawi,A,2054208.0,Cattle,A
450,Madagascar,450,Madagascar,A,6320500.0,Cattle,A
807,North Macedonia,807,North Macedonia,A,164751.0,Cattle,A
442,Luxembourg,442,Luxembourg,A,186130.0,Cattle,A
440,Lithuania,440,Lithuania,A,641920.0,Cattle,A
438,Liechtenstein,438,,,,Cattle,none
434,Libya,434,Libya,E,215920.0,Cattle,E
430,Liberia,430,Liberia,I,43028.0,Cattle,I
426,Lesotho,426,Lesotho,A,593664.0,Cattle,A
422,Lebanon,422,Lebanon,X,80198.0,Cattle,X
428,Latvia,428,Latvia,A,391350.0,Cattle,A
418,Laos,418,Lao People's Democratic Republic,A,2428000.0,Cattle,A
417,Kyrgyzstan,417,Kyrgyzstan,A,1783469.0,Cattle,A
414,Kuwait,414,Kuwait,I,32928.0,Cattle,I
-099,Kosovo,-099,,,,Cattle,none
296,Kiribati,296,,,,Cattle,none
404,Kenya,404,Kenya,A,20830134.0,Cattle,A
398,Kazakhstan,398,Kazakhstan,A,6536282.0,Cattle,A
400,Jordan,400,Jordan,A,81466.0,Cattle,A
392,Japan,392,Japan,A,3985000.0,Cattle,A
388,Jamaica,388,Jamaica,I,153880.0,Cattle,I
380,Italy,380,Italy,A,6049000.0,Cattle,A
376,Israel,376,Israel,A,581535.0,Cattle,A
275,Palestine,275,Palestine,E,41590.0,Cattle,E
372,Ireland,372,Ireland,A,6551830.0,Cattle,A
368,Iraq,368,Iraq,A,2104057.0,Cattle,A
364,Iran,364,Iran (Islamic Republic of),A,5625000.0,Cattle,A
360,Indonesia,360,Indonesia,A,17602538.0,Cattle,A
356,India,356,India,I,194202718.0,Cattle,I
352,Iceland,352,Iceland,A,79306.0,Cattle,A
348,Hungary,348,Hungary,A,894000.0,Cattle,A
340,Honduras,340,Honduras,I,2880208.0,Cattle,I
332,Haiti,332,Haiti,I,1518685.0,Cattle,I
328,Guyana,328,Guyana,I,100695.0,Cattle,I
624,Guinea-Bissau,624,Guinea-Bissau,I,741627.0,Cattle,I
324,Guinea,324,Guinea,A,9310926.0,Cattle,A
320,Guatemala,320,Guatemala,I,4210482.0,Cattle,I
308,Grenada,308,Grenada,I,5720.0,Cattle,I
300,Greece,300,Greece,A,581600.0,Cattle,A
288,Ghana,288,Ghana,I,2223553.0,Cattle,I
276,Germany,276,Germany,A,10996960.0,Cattle,A
268,Georgia,268,Georgia,A,928600.0,Cattle,A
270,Gambia,270,Gambia,A,281430.0,Cattle,A
266,Gabon,266,Gabon,I,39411.0,Cattle,I
250,France,250,France,A,16986190.0,Cattle,A
666,St. Pierre and Miquelon,666,,,,Cattle,none
876,Wallis and Futuna Is.,876,,,,Cattle,none
663,St-Martin,663,,,,Cattle,none
652,St-Barthélemy,652,,,,Cattle,none
258,Fr. Polynesia,258,French Polynesia,E,10000.0,Cattle,E
540,New Caledonia,540,New Caledonia,I,78923.0,Cattle,I
260,Fr. S. Antarctic Lands,260,,,,Cattle,none
248,Åland,248,,,,Cattle,none
246,Finland,246,Finland,A,821970.0,Cattle,A
242,Fiji,242,Fiji,A,71608.0,Cattle,A
231,Ethiopia,231,Ethiopia,A,66260987.0,Cattle,A
233,Estonia,233,Estonia,A,249620.0,Cattle,A
232,Eritrea,232,Eritrea,I,2147162.0,Cattle,I
226,Eq. Guinea,226,Equatorial Guinea,I,5478.0,Cattle,I
222,El Salvador,222,El Salvador,A,757942.0,Cattle,A
818,Egypt,818,Egypt,A,3091000.0,Cattle,A
218,Ecuador,218,Ecuador,A,3860493.0,Cattle,A
214,Dominican Rep.,214,Dominican Republic,I,3018158.0,Cattle,I
212,Dominica,212,Dominica,I,13876.0,Cattle,I
262,Djibouti,262,Djibouti,I,314719.0,Cattle,I
304,Greenland,304,,,,Cattle,none
234,Faeroe Is.,234,Faroe Islands,A,2050.0,Cattle,A
208,Denmark,208,Denmark,A,1466000.0,Cattle,A
203,Czechia,203,Czechia,A,1390490.0,Cattle,A
-099,N. Cyprus,-099,,,,Cattle,none
196,Cyprus,196,Cyprus,A,81440.0,Cattle,A
192,Cuba,192,Cuba,A,3516400.0,Cattle,A
191,Croatia,191,Croatia,A,422000.0,Cattle,A
384,Côte d'Ivoire,384,Côte d'Ivoire,A,1835661.0,Cattle,A
188,Costa Rica,188,Costa Rica,A,1495343.0,Cattle,A
180,Dem. Rep. Congo,180,Democratic Republic of the Congo,A,1652514.0,Cattle,A
178,Congo,178,Congo,I,336021.0,Cattle,I
174,Comoros,174,Comoros,I,51254.0,Cattle,I
170,Colombia,170,Colombia,A,29642539.0,Cattle,A
156,China,156,"China, mainland",E,71510950.0,Cattle,E
446,Macao,446,,,,Cattle,none
344,Hong Kong,344,"China, Hong Kong SAR",I,1574.0,Cattle,I
152,Chile,152,Chile,I,2999458.0,Cattle,I
148,Chad,148,Chad,A,35749982.0,Cattle,A
140,Central African Rep.,140,Central African Republic,E,4746586.0,Cattle,E
132,Cabo Verde,132,Cabo Verde,A,29649.0,Cattle,A
124,Canada,124,Canada,A,11515000.0,Cattle,A
120,Cameroon,120,Cameroon,I,5905938.0,Cattle,I
116,Cambodia,116,Cambodia,I,2834061.0,Cattle,I
104,Myanmar,104,Myanmar,A,10810000.0,Cattle,A
108,Burundi,108,Burundi,A,1170181.0,Cattle,A
854,Burkina Faso,854,Burkina Faso,A,9939785.0,Cattle,A
100,Bulgaria,100,Bulgaria,A,579860.0,Cattle,A
096,Brunei,096,Brunei Darussalam,A,367.0,Cattle,A
076,Brazil,076,Brazil,A,234851536.0,Cattle,A
072,Botswana,072,Botswana,E,1100000.0,Cattle,E
070,Bosnia and Herz.,070,Bosnia and Herzegovina,A,339169.0,Cattle,A
068,Bolivia,068,Bolivia (Plurinational State of),A,10739448.0,Cattle,A
064,Bhutan,064,Bhutan,A,384026.0,Cattle,A
204,Benin,204,Benin,A,2313666.0,Cattle,A
084,Belize,084,Belize,I,99522.0,Cattle,I
056,Belgium,056,Belgium,A,2286110.0,Cattle,A
112,Belarus,112,Belarus,A,4209300.0,Cattle,A
052,Barbados,052,Barbados,I,11322.0,Cattle,I
050,Bangladesh,050,Bangladesh,A,24700000.0,Cattle,A
048,Bahrain,048,Bahrain,A,7200.0,Cattle,A
044,Bahamas,044,Bahamas,I,744.0,Cattle,I
031,Azerbaijan,031,Azerbaijan,A,2498179.0,Cattle,A
040,Austria,040,Austria,A,1861070.0,Cattle,A
036,Australia,036,Australia,A,24398826.0,Cattle,A
-099,Indian Ocean Ter.,-099,,,,Cattle,none
-099,Heard I. and McDonald Is.,-099,,,,Cattle,none
574,Norfolk Island,574,,,,Cattle,none
-099,Ashmore and Cartier Is.,-099,,,,Cattle,none
051,Armenia,051,Armenia,A,559627.0,Cattle,A
032,Argentina,032,Argentina,A,53416435.0,Cattle,A
028,Antigua and Barb.,028,Antigua and Barbuda,I,4126.0,Cattle,I
024,Angola,024,Angola,I,5130157.0,Cattle,I
020,Andorra,020,,,,Cattle,none
012,Algeria,012,Algeria,I,1734460.0,Cattle,I
008,Albania,008,Albania,A,297656.0,Cattle,A
